"id","title","radar","portfolio","default_set","created_at","updated_at","category_id"
"3","XPL","2","1","t","3/2/2021 07:32:16.189221","3/2/2021 07:32:16.189221","20"
"4","Python","3","2","t","3/2/2021 07:32:16.192765","3/2/2021 07:32:16.192765","10"
"5","SP/k","3","1","f","3/2/2021 07:32:16.196206","3/2/2021 07:32:16.196206","18"
"6","WebQL","3","1","t","3/2/2021 07:32:16.199605","3/2/2021 07:32:16.199605","3"
"14","Pharo","3","1","t","3/2/2021 07:32:16.226312","3/2/2021 07:32:16.226312","6"
"15","Erlang","2","1","t","3/2/2021 07:32:16.229625","3/2/2021 07:32:16.229625","22"
"17","Snap!","0","1","t","3/2/2021 07:32:16.236286","3/2/2021 07:32:16.236286","15"
"28","ReactJS","3","1",,"25/2/2021 08:51:52.256515","25/2/2021 11:46:11.278846","7"
"29","React Native","3","1",,"25/2/2021 08:52:09.62256","25/2/2021 11:46:14.615874","7"
"7","Angular JS","2","2","f","3/2/2021 07:32:16.202992","23/2/2021 10:53:11.413396","9"
"20","C#","1","1","t","3/2/2021 07:32:16.24621","23/2/2021 10:57:12.292584","9"
"12","Oracle","2","2","f","3/2/2021 07:32:16.219704","23/2/2021 10:58:41.07882","11"
"1","UI/UX designer","2","2","f","3/2/2021 07:32:16.181683","25/2/2021 08:43:12.998738","2"
"30","Birth Report","3","1",,"25/2/2021 08:57:24.681444","25/2/2021 08:57:24.681444","5"
"31","IReport","3","1",,"25/2/2021 08:57:36.793669","25/2/2021 08:57:36.793669","5"
"41","MySQL","3","1",,"25/2/2021 09:03:06.031404","25/2/2021 09:03:06.031404","11"
"42","MariaDB","3","1",,"25/2/2021 09:03:17.572553","25/2/2021 09:03:17.572553","11"
"43","TimescaleDB","3","1",,"25/2/2021 09:03:33.192776","25/2/2021 09:03:33.192776","11"
"44","PostgreSQL","3","1",,"25/2/2021 09:03:51.994445","25/2/2021 09:03:51.994445","11"
"45","Kafka","3","1",,"25/2/2021 09:09:17.992367","25/2/2021 09:09:17.992367","10"
"46","MQTT","3","1",,"25/2/2021 09:09:29.589001","25/2/2021 09:09:29.589001","10"
"47","RabitMQ","3","1",,"25/2/2021 09:09:51.345397","25/2/2021 09:09:51.345397","10"
"48","Spring MVC","3","1",,"25/2/2021 09:10:17.085084","25/2/2021 09:10:17.085084","5"
"49","Spring boot","3","1",,"25/2/2021 09:10:33.072024","25/2/2021 09:10:33.072024","5"
"50","Spring Security","3","1",,"25/2/2021 09:10:44.60931","25/2/2021 09:10:44.60931","5"
"51","Spring Cloud","3","1",,"25/2/2021 09:10:56.009675","25/2/2021 09:10:56.009675","5"
"52","XML","3","1",,"25/2/2021 09:14:53.788479","25/2/2021 09:14:53.788479","25"
"53","XSLT","3","1",,"25/2/2021 09:15:07.127104","25/2/2021 09:15:07.127104","25"
"54","Visual Code","3","1",,"25/2/2021 09:15:57.511301","25/2/2021 09:15:57.511301","26"
"55","Visual Studio","3","1",,"25/2/2021 09:16:12.951253","25/2/2021 09:16:12.951253","26"
"56","IntelliJ","3","1",,"25/2/2021 09:16:31.851066","25/2/2021 09:16:31.851066","26"
"57","Microsoft SQL Server","3","1",,"25/2/2021 09:17:46.229565","25/2/2021 09:17:46.229565","11"
"58","Eclipse","3","1",,"25/2/2021 09:18:14.142463","25/2/2021 09:18:14.142463","26"
"59","SonarQube","3","1",,"25/2/2021 09:20:08.288407","25/2/2021 09:20:08.288407","15"
"60","Jira","3","1",,"25/2/2021 09:20:33.496892","25/2/2021 09:20:33.496892","26"
"13","Frontend","1","1","t","3/2/2021 07:32:16.22302","25/2/2021 10:54:44.580103","7"
"36","Bash scripting","3","1",,"25/2/2021 09:01:05.615489","25/2/2021 11:45:21.06554","15"
"25","CSS","3","1",,"25/2/2021 08:50:49.25848","25/2/2021 11:45:26.039909","7"
"26","CSS3","3","1",,"25/2/2021 08:51:18.650231","25/2/2021 11:45:30.960386","7"
"33","Docker","3","1",,"25/2/2021 08:58:32.236303","25/2/2021 11:45:35.496757","15"
"34","Docker Swarm","3","1",,"25/2/2021 08:58:49.182474","25/2/2021 11:45:38.577933","15"
"40","Gitlab CI/CD","3","1",,"25/2/2021 09:02:29.003524","25/2/2021 11:45:43.845332","15"
"8","Hibernate","2","1","t","3/2/2021 07:32:16.206312","25/2/2021 11:45:46.82074","5"
"10","HTML","2","1","f","3/2/2021 07:32:16.212955","25/2/2021 11:45:49.344842","7"
"27","HTML5","3","1",,"25/2/2021 08:51:30.941868","25/2/2021 11:45:52.095149","7"
"32","Jasper Report","3","1",,"25/2/2021 08:58:03.468103","25/2/2021 11:45:55.380061","5"
"38","Jenkins","3","1",,"25/2/2021 09:01:58.918941","25/2/2021 11:45:58.134387","15"
"11","NSIS","1","1","t","3/2/2021 07:32:16.216311","25/2/2021 11:46:01.559026","15"
"18","PL/P","3","1","f","3/2/2021 07:32:16.239582","25/2/2021 11:46:06.873316","6"
"35","Shell Scripting","3","1",,"25/2/2021 09:00:52.229983","25/2/2021 11:46:18.335884","15"
"2","SQL","1","1","t","3/2/2021 07:32:16.185793","25/2/2021 11:46:22.093278","11"
"39","TeamCity","3","1",,"25/2/2021 09:02:14.876016","25/2/2021 11:46:25.342943","15"
"22","Tomcat 7","3","1",,"25/2/2021 08:44:16.650333","25/2/2021 11:46:28.921022","9"
"9","Tomcat 6","1","1","t","3/2/2021 07:32:16.209641","25/2/2021 11:46:31.38851","9"
"23","Tomcat 8.0","3","1",,"25/2/2021 08:44:35.274053","25/2/2021 11:46:34.818077","9"
"24","Tomcat 8.5","3","1",,"25/2/2021 08:50:11.913726","25/2/2021 11:46:37.658639","9"
"37","yaml","3","1",,"25/2/2021 09:01:37.742563","25/2/2021 11:46:43.789665","15"
"61","Wireshark","3","1",,"3/3/2021 04:22:12.26708","3/3/2021 04:22:12.26708","26"
"62","Postman","3","1",,"3/3/2021 04:22:26.589917","3/3/2021 04:22:26.589917","26"
"63","JSP","3","1",,"3/3/2021 04:22:55.420939","3/3/2021 04:22:55.420939","5"
"16","Spring Data JPA","0","1","t","3/2/2021 07:32:16.232933","3/3/2021 04:23:43.109399","11"
"64","Spring framework","0","1",,"3/3/2021 04:24:12.420249","3/3/2021 04:24:12.420249","5"
"65","Teraform","0","1",,"3/3/2021 04:24:37.467773","3/3/2021 04:24:37.467773","15"
"66","Ansible","0","1",,"3/3/2021 04:24:50.08836","3/3/2021 04:24:50.08836","15"
"67","Linux","3","1",,"3/3/2021 04:25:47.71308","3/3/2021 04:25:47.71308","19"
"19","Angular 2","3","1","f","3/2/2021 07:32:16.242892","3/3/2021 04:28:29.245632","7"
"68","Angular 3","3","1",,"3/3/2021 04:28:41.887598","3/3/2021 04:28:41.887598","7"
"69","Angular 4","3","1",,"3/3/2021 04:29:00.189906","3/3/2021 04:29:00.189906","7"
"70","Angular 5","3","1",,"3/3/2021 04:29:11.389259","3/3/2021 04:29:11.389259","7"
"71","Angular 6","3","1",,"3/3/2021 04:29:22.452531","3/3/2021 04:29:22.452531","7"
"72","Angular 9","3","0",,"3/3/2021 04:29:44.692618","3/3/2021 04:29:44.692618","7"
"73","MyBatis",,,,"3/3/2021 04:44:00.098812","3/3/2021 04:44:00.098812","5"
"74","UnitTest",,,,"3/3/2021 04:45:37.298081","3/3/2021 04:45:37.298081","5"
"75","Angular 8","3","1",,"3/3/2021 04:55:32.058053","3/3/2021 04:55:32.058053","7"
"76","Redis",,,,"5/3/2021 03:33:44.120079","5/3/2021 03:33:44.120079","5"
"77","Java","2","0",,"5/3/2021 03:42:42.675506","5/3/2021 03:42:42.675506","5"
"78","Android",,,,"16/3/2021 11:33:35.823427","16/3/2021 11:33:35.823427","8"
"79","iOS",,,,"16/3/2021 11:36:08.853148","16/3/2021 11:36:08.853148","8"
"80","Objective-C",,,,"16/3/2021 11:36:51.091096","16/3/2021 11:36:51.091096","8"
"81","Kotlin",,,,"16/3/2021 11:48:07.483284","16/3/2021 11:48:07.483284","8"
"82","HTML5/CSS3",,,,"16/3/2021 11:48:29.736119","16/3/2021 11:48:29.736119","8"
"83","Mobile UI/UX",,,,"16/3/2021 11:48:49.72424","16/3/2021 11:48:49.72424","3"
"84","JavaScript",,,,"16/3/2021 11:49:09.08905","16/3/2021 11:49:09.08905","7"
"85","Flutter",,,,"17/3/2021 02:32:57.887872","17/3/2021 02:32:57.887872","8"
"86","Jquery","3",,,"17/3/2021 10:17:40.417254","17/3/2021 10:17:40.417254","7"
